time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 19:39:06 2024,0,198,[Range],69.800,0.100,-49.320,0.000,1,b4w,2.000
Fri Mar 15 19:39:22 2024,0,181,[Range],69.900,2.700,-73.800,-0.360,0,b4w,24.000
Fri Mar 15 19:39:52 2024,0,194,[Range],69.700,2.600,-59.040,-2.880,0,b4w,23.000
Fri Mar 15 19:42:45 2024,0,210,[Range],69.200,0.000,-65.880,-0.720,1,b4w,18.000
Fri Mar 15 19:43:23 2024,0,207,[Range],69.400,-0.800,-47.520,-2.160,1,b4w,43.000
Fri Mar 15 19:43:32 2024,0,209,[Range],69.900,2.100,-49.680,-2.520,0,b4w,24.000
Fri Mar 15 19:43:55 2024,0,213,[Range],69.900,-1.400,-39.600,0.000,1,b4w,0.000
Fri Mar 15 19:44:14 2024,0,214,[Range],69.500,2.200,-51.480,-2.160,0,b4w,21.000
Fri Mar 15 19:44:16 2024,0,206,[Range],69.900,-0.600,-41.760,-1.440,1,b4w,21.000
Fri Mar 15 19:44:35 2024,0,212,[Range],69.400,2.900,-59.400,0.000,0,b4w,22.000
Fri Mar 15 19:44:35 2024,0,226,[Range],69.600,2.900,-56.160,0.000,0,b4w,0.000
Fri Mar 15 19:44:37 2024,0,220,[Range],69.900,-1.700,-54.000,0.000,1,b4w,6.000
Fri Mar 15 19:45:23 2024,0,218,[Range],69.500,3.000,-49.320,-1.440,0,b4w,38.000
Fri Mar 15 19:45:43 2024,0,243,[Range],69.800,-0.800,-37.440,0.360,1,b4w,6.000
Fri Mar 15 19:46:03 2024,0,227,[Range],69.700,-0.400,-37.440,-1.440,1,b4w,22.000
Fri Mar 15 19:46:04 2024,0,230,[Range],69.000,3.200,-71.280,0.000,0,b4w,4.000
